RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,120,0.256,#46966,#46847
0100→0200,100,200,162,0.600,#46846,#46685
0200→0300,200,300,377,1.403,#46684,#46308
0300→0400,300,400,756,3.013,#46307,#45552
0400→0500,400,500,1373,5.936,#45551,#44179
0500→0600,500,600,2297,10.827,#44178,#41882
0600→0700,600,700,3182,17.602,#41881,#38700
0700→0800,700,800,4045,26.215,#38699,#34655
0800→0900,800,900,4960,36.776,#34654,#29695
0900→1000,900,1000,5894,49.325,#29694,#23801
1000→1100,1000,1100,6473,63.107,#23800,#17328
1100→1200,1100,1200,4899,73.538,#17327,#12429
1200→1300,1200,1300,3614,81.233,#12428,#8815
1300→1400,1300,1400,2528,86.616,#8814,#6287
1400→1500,1400,1500,1979,90.830,#6286,#4308
1500→1600,1500,1600,1401,93.813,#4307,#2907
1600→1700,1600,1700,966,95.869,#2906,#1941
1700→1800,1700,1800,692,97.343,#1940,#1249
1800→1900,1800,1900,457,98.316,#1248,#792
1900→2000,1900,2000,238,98.823,#791,#554
2000→2100,2000,2100,205,99.259,#553,#349
2100→2200,2100,2200,118,99.510,#348,#231
2200→2300,2200,2300,76,99.672,#230,#155
2300→2400,2300,2400,53,99.785,#154,#102
2400→2500,2400,2500,41,99.872,#101,#61
2500→2600,2500,2600,26,99.928,#60,#35
2600→2700,2600,2700,22,99.974,#34,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
